City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
524,Boyolangu,ID,82.85,scattered clouds,-8.1181,111.8935,Yos ega cv
525,Rantepao,ID,82.27,broken clouds,-2.9701,119.8978,Hotel Luta Resort
529,Maragogi,BR,77.67,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
536,Sinnamary,GF,77.22,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
537,Diapaga,BF,75.0,broken clouds,12.0708,1.7889,
538,Santa Josefa,PH,79.63,overcast clouds,7.9911,126.03,Madmax’s Base
539,Alice Town,BS,76.23,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
540,Fonte Boa,BR,75.34,overcast clouds,-2.4959,-66.2662,
542,Langsa,ID,84.0,broken clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
545,Phan Thiet,VN,81.23,overcast clouds,10.9333,108.1,Hotel Saigon-PT
550,Singaraja,ID,83.1,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort
553,Bacolod,PH,83.82,broken clouds,10.6667,122.95,Planta Hotel & Residences
556,Tiarei,PF,86.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
558,Banda Aceh,ID,82.08,scattered clouds,5.5577,95.3222,Sulthan Hotel International
561,Cabinda,AO,79.5,overcast clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
563,Clarence Town,AU,82.99,broken clouds,-32.5833,151.7833,River Downs Cottage
567,Hervey Bay,AU,91.0,clear sky,-25.2986,152.8535,Shelly Bay Resort
570,Kui Buri,TH,84.99,clear sky,12.0828,99.8543,ริสต้า รีสอร์ท
572,Yeppoon,AU,95.0,broken clouds,-23.1333,150.7333,Villa Mar Colina
584,Portobelo,PA,81.0,overcast clouds,9.55,-79.65,Scuba Portobelo
588,Kinablangan,PH,78.93,overcast clouds,7.6947,126.5503,Danny Moreno Property
589,Nelson Bay,AU,80.6,broken clouds,-32.7167,152.15,Mantra Nelson Bay
595,Taganak,PH,82.4,few clouds,6.0833,118.3,Taganak
596,Acarau,BR,77.79,broken clouds,-2.8856,-40.12,castelo pizzaria
597,Port Hedland,AU,87.8,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
598,Ahuimanu,US,77.0,clear sky,21.4447,-157.8378,Paradise Bay Resort
599,Ulladulla,AU,77.0,broken clouds,-35.35,150.4667,Sandpiper Motel
606,Fare,PF,82.09,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
613,Tual,ID,83.88,moderate rain,-5.6667,132.75,Grand Vilia Hotel
623,Pouebo,NC,83.66,few clouds,-20.4,164.5667,
