City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
394,Rorvik,64.8621,11.2373,23.4,91,17,7.0,NO,2021-02-07 01:58:04,few clouds
395,Port Augusta,-32.5,137.7667,77.0,60,75,16.11,AU,2021-02-07 01:58:04,broken clouds
396,Lagoa,39.05,-27.9833,59.99,92,100,26.64,PT,2021-02-07 01:58:04,overcast clouds
397,Atasu,48.6814,71.6433,20.16,95,100,21.39,KZ,2021-02-07 01:58:04,overcast clouds
398,Iquitos,-3.7481,-73.2472,77.0,88,0,1.16,PE,2021-02-07 01:58:04,clear sky
399,Tubmanburg,6.8708,-10.8172,74.75,93,70,1.57,LR,2021-02-07 01:58:04,broken clouds
400,Maningrida,-12.0667,134.2667,82.04,76,100,13.44,AU,2021-02-07 01:58:05,overcast clouds
401,Chifeng,42.2683,118.9636,9.59,85,0,7.05,CN,2021-02-07 01:58:05,clear sky
402,Hambantota,6.1241,81.1185,71.6,100,20,1.14,LK,2021-02-07 01:55:55,few clouds
403,Champerico,14.3,-91.9167,64.0,93,0,7.18,GT,2021-02-07 01:58:05,clear sky
404,Kibara,-2.15,33.45,68.0,88,75,3.58,TZ,2021-02-07 01:58:05,broken clouds
405,Hokitika,-42.7167,170.9667,66.4,65,0,7.36,NZ,2021-02-07 01:55:39,clear sky
406,Quang Ngai,15.1167,108.8,73.94,80,75,1.59,VN,2021-02-07 01:58:05,broken clouds
407,Cahors,44.4167,1.3333,46.4,87,90,10.36,FR,2021-02-07 01:58:05,overcast clouds
408,Kaitangata,-46.2817,169.8464,66.0,75,2,10.0,NZ,2021-02-07 01:58:06,clear sky
409,Hofn,64.2539,-15.2082,32.22,93,99,17.81,IS,2021-02-07 01:58:06,light snow
410,Lodwar,3.1191,35.5973,78.78,52,37,3.85,KE,2021-02-07 01:55:24,scattered clouds
411,Mabaruma,8.2,-59.7833,72.59,96,100,4.72,GY,2021-02-07 01:58:06,overcast clouds
412,Dauriya,49.9333,116.8667,-9.04,88,100,3.49,RU,2021-02-07 01:58:06,overcast clouds
413,Komsomolskiy,40.4272,71.7189,41.0,56,100,4.61,UZ,2021-02-07 01:58:06,haze
414,Maturin,9.75,-63.1767,72.46,89,100,7.02,VE,2021-02-07 01:53:48,overcast clouds
415,Shanghai,31.2222,121.4581,60.01,71,0,4.47,CN,2021-02-07 01:58:06,haze
416,Ko Samui,9.5357,99.9357,80.6,83,20,13.8,TH,2021-02-07 01:58:07,few clouds
417,Bambanglipuro,-7.95,110.2833,84.11,69,9,4.81,ID,2021-02-07 01:58:07,clear sky
418,Novomalorossiyskaya,45.6348,39.8948,27.18,96,100,1.83,RU,2021-02-07 01:58:07,snow
419,Diffa,13.3154,12.6113,62.37,37,91,9.31,NE,2021-02-07 01:58:07,overcast clouds
420,Evensk,61.95,159.2333,18.64,84,100,28.5,RU,2021-02-07 01:55:24,overcast clouds
421,Lebu,-37.6167,-73.65,57.81,93,24,1.86,CL,2021-02-07 01:58:07,few clouds
422,Kahului,20.8947,-156.47,78.8,50,40,11.5,US,2021-02-07 01:57:59,scattered clouds
423,Abu Kamal,34.4506,40.9171,51.19,58,0,10.02,SY,2021-02-07 01:58:07,clear sky
424,Biskamzha,53.4497,89.5272,20.53,92,0,2.13,RU,2021-02-07 01:58:07,clear sky
425,Nanortalik,60.1432,-45.2371,24.98,88,100,9.28,GL,2021-02-07 01:58:08,overcast clouds
426,Krasne,49.9145,24.6134,17.6,86,75,8.95,UA,2021-02-07 01:58:08,broken clouds
427,Nekrasovskoye,57.6766,40.3657,1.4,71,75,11.18,RU,2021-02-07 01:58:08,broken clouds
428,Belaya Gora,68.5333,146.4167,-29.76,82,0,0.63,RU,2021-02-07 01:58:08,clear sky
429,Berlin,52.5244,13.4105,25.0,63,0,17.27,DE,2021-02-07 01:55:10,clear sky
430,Ostrovnoy,68.0531,39.5131,8.35,92,100,10.76,RU,2021-02-07 01:58:08,light snow
431,Oneida,43.2001,-75.4663,19.4,58,1,5.12,US,2021-02-07 01:58:08,clear sky
432,Karasburg,-28.0167,18.75,66.9,41,0,8.97,NA,2021-02-07 01:58:08,clear sky
433,Fengrun,39.8333,118.1167,32.68,78,0,1.86,CN,2021-02-07 01:58:08,clear sky
434,Isangel,-19.55,169.2667,86.0,79,20,5.75,VU,2021-02-07 01:58:09,few clouds
435,Bandarbeyla,9.4942,50.8122,74.75,82,7,11.14,SO,2021-02-07 01:53:29,clear sky
436,Monrovia,6.3005,-10.7969,79.38,86,88,7.94,LR,2021-02-07 01:58:09,overcast clouds
437,Kieta,-6.2167,155.6333,87.33,64,85,8.01,PG,2021-02-07 01:58:09,light rain
438,Dongsheng,39.8161,109.9776,22.19,78,0,10.16,CN,2021-02-07 01:58:09,clear sky
439,Sayyan,15.1718,44.3244,45.48,69,0,4.07,YE,2021-02-07 01:58:09,clear sky
440,Nara,34.6851,135.8049,57.0,71,20,2.3,JP,2021-02-07 01:58:09,few clouds
441,Araouane,18.9048,-3.5265,68.14,25,94,16.87,ML,2021-02-07 01:58:10,overcast clouds
442,Urucara,-2.5364,-57.76,74.98,94,93,2.62,BR,2021-02-07 01:58:10,overcast clouds
443,Rawson,-43.3002,-65.1023,58.26,69,32,19.86,AR,2021-02-07 01:58:10,scattered clouds
444,Kautokeino,69.0125,23.0412,16.77,93,100,9.95,NO,2021-02-07 01:58:10,overcast clouds
445,Hammerfest,70.6634,23.6821,26.51,95,100,19.15,NO,2021-02-07 01:58:10,light snow
446,Biak,-0.9131,122.8766,83.21,63,100,0.81,ID,2021-02-07 01:58:10,light rain
447,Teya,60.3778,92.6267,20.86,94,90,8.7,RU,2021-02-07 01:54:40,overcast clouds
448,Tilichiki,60.4667,166.1,18.03,88,100,17.92,RU,2021-02-07 01:58:10,light snow
449,Bosaso,11.2842,49.1816,72.48,77,51,4.07,SO,2021-02-07 01:58:10,broken clouds
450,Dezful,32.3811,48.4058,56.68,86,100,10.87,IR,2021-02-07 01:58:11,overcast clouds
451,Santa Vitoria Do Palmar,-33.5189,-53.3681,66.58,90,0,8.3,BR,2021-02-07 01:58:11,clear sky
452,New Bern,35.1085,-77.0441,46.0,65,90,4.61,US,2021-02-07 01:58:11,overcast clouds
453,Svetlaya,46.5389,138.3297,11.43,83,30,6.87,RU,2021-02-07 01:58:11,scattered clouds
454,Sechura,-5.5569,-80.8222,76.53,66,90,13.62,PE,2021-02-07 01:58:11,overcast clouds
455,Sinop,41.7711,34.8709,47.46,57,98,7.63,TR,2021-02-07 01:58:11,overcast clouds
456,Marsabit,2.3284,37.9899,68.25,63,38,7.34,KE,2021-02-07 01:58:11,scattered clouds
457,Talcher,20.95,85.2167,61.14,62,0,2.13,IN,2021-02-07 01:58:11,clear sky
458,Pareora,-44.4871,171.2132,68.0,74,0,5.01,NZ,2021-02-07 01:58:12,clear sky
459,Northam,51.0333,-4.2167,39.99,88,61,5.99,GB,2021-02-07 01:58:12,broken clouds
460,Makushino,55.2103,67.2442,17.11,95,100,24.36,RU,2021-02-07 01:58:12,overcast clouds
461,Kalmunai,7.4167,81.8167,77.86,87,24,7.94,LK,2021-02-07 01:58:12,few clouds
462,Fortuna,40.5982,-124.1573,48.99,93,90,11.5,US,2021-02-07 01:58:12,overcast clouds
463,Teahupoo,-17.8333,-149.2667,86.0,62,20,12.66,PF,2021-02-07 01:58:12,light rain
464,Buala,-8.145,159.5921,77.7,82,100,4.92,SB,2021-02-07 01:58:12,light rain
465,Kidal,18.4411,1.4078,70.88,19,100,11.56,ML,2021-02-07 01:58:13,overcast clouds
466,Alakurtti,66.9672,30.3491,17.15,94,100,10.31,RU,2021-02-07 01:58:13,overcast clouds
467,Imeni Babushkina,59.7573,43.1285,-11.4,89,100,8.14,RU,2021-02-07 01:58:13,overcast clouds
468,Acapulco,16.8634,-99.8901,80.6,74,1,4.61,MX,2021-02-07 01:53:21,clear sky
