City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Pisco,-13.7,-76.2167,75,83,75,9.22,PE,2/6/2021 17:11
1,Pevek,69.7008,170.3133,-1.64,86,100,2.24,RU,2/6/2021 17:10
2,Ushuaia,-54.8,-68.3,53.6,50,20,21.85,AR,2/6/2021 17:11
3,Turukhansk,65.8167,87.9833,-5.75,91,100,17.05,RU,2/6/2021 17:09
4,Coruripe,-10.1256,-36.1756,86.92,58,92,18.23,BR,2/6/2021 17:11
5,Kapaa,22.0752,-159.319,60.01,82,1,9.22,US,2/6/2021 17:09
6,Cam Ranh,11.9214,109.1591,75.2,73,40,10.36,VN,2/6/2021 17:11
7,Puerto Penasco,31.3167,-113.5333,63,34,0,7.61,MX,2/6/2021 17:11
8,Hermanus,-34.4187,19.2345,71.01,87,20,1.99,ZA,2/6/2021 17:11
9,Hobart,-42.8794,147.3294,57.99,82,12,6.91,AU,2/6/2021 17:06
10,Bilibino,68.0546,166.4372,-9.09,83,0,2.8,RU,2/6/2021 17:11
11,Port Blair,11.6667,92.75,78.98,76,0,7.99,IN,2/6/2021 17:11
12,Laguna,38.421,-121.4238,46.99,87,1,2.3,US,2/6/2021 17:11
13,Tual,-5.6667,132.75,83.97,75,100,21,ID,2/6/2021 17:09
14,Rikitea,-23.1203,-134.9692,77.47,75,100,13.15,PF,2/6/2021 17:11
15,Melendugno,40.2747,18.3368,60.8,88,75,11.5,IT,2/6/2021 17:11
16,Kikwit,-5.041,18.8162,75.27,89,92,1.57,CD,2/6/2021 17:11
17,Qaanaaq,77.484,-69.3632,11.07,88,100,7.56,GL,2/6/2021 17:11
18,Mataura,-46.1927,168.8643,48.85,95,2,0.56,NZ,2/6/2021 17:09
19,Deputatskiy,69.3,139.9,-35.66,85,83,0.72,RU,2/6/2021 17:11
20,Wajid,3.8093,43.2471,84.99,24,0,13.15,SO,2/6/2021 17:11
21,Adrar,20.5022,-10.0711,70.57,23,43,14.97,MR,2/6/2021 17:11
22,Busselton,-33.65,115.3333,59,95,100,1.01,AU,2/6/2021 17:11
23,Avarua,-21.2078,-159.775,75.2,94,20,2.3,CK,2/6/2021 17:11
24,Sungaipenuh,-2.0833,101.3833,64.9,87,93,3.33,ID,2/6/2021 17:11
25,Sola,-13.8833,167.55,81.7,75,5,6.26,VU,2/6/2021 17:09
26,Butaritari,3.0707,172.7902,80.87,81,93,21.94,KI,2/6/2021 17:09
27,New Norfolk,-42.7826,147.0587,57.99,75,12,1.01,AU,2/6/2021 17:07
28,Provideniya,64.3833,-173.3,2.08,92,71,4.09,RU,2/6/2021 17:11
29,Lasa,46.6166,10.7002,42.01,93,20,10.36,IT,2/6/2021 17:10
30,Tasiilaq,65.6145,-37.6368,32,100,75,42.57,GL,2/6/2021 17:11
31,Bengkulu,-3.8004,102.2655,76.48,82,82,5.48,ID,2/6/2021 17:11
32,Sur,22.5667,59.5289,64.8,60,0,7.02,OM,2/6/2021 17:11
33,Madimba,-10.4,40.3333,82.4,78,40,9.22,TZ,2/6/2021 17:11
34,Humaita,-7.5061,-63.0208,82.71,76,98,3.87,BR,2/6/2021 17:11
35,Chumikan,54.7183,135.315,-9.42,82,100,13.04,RU,2/6/2021 17:11
36,Touros,-5.1989,-35.4608,87.8,51,40,12.66,BR,2/6/2021 17:11
37,Ust-Maya,60.4167,134.5333,-26.45,85,100,1.36,RU,2/6/2021 17:11
38,Barrow,71.2906,-156.7887,-0.4,71,90,10.36,US,2/6/2021 17:11
39,Jamestown,42.097,-79.2353,19.99,53,1,17.27,US,2/6/2021 17:11
40,Victoria,22.2855,114.1577,66.99,68,0,3.98,HK,2/6/2021 17:08
41,Saint-Pierre,-21.3393,55.4781,80.6,78,90,2.3,RE,2/6/2021 17:11
42,Adre,13.4667,22.2,70.63,19,0,11.99,TD,2/6/2021 17:11
43,Punta Arenas,-53.15,-70.9167,55.4,47,20,6.91,CL,2/6/2021 17:11
44,Kavadarci,41.4331,22.0119,53.01,81,0,3.44,MK,2/6/2021 17:11
45,Sidney,-33.8679,151.2073,70,88,0,8.05,AU,2/6/2021 17:10
46,La Libertad,-2.2333,-80.9,86,58,0,2.3,EC,2/6/2021 17:11
47,Port Elizabeth,-33.918,25.5701,73.4,83,75,14.97,ZA,2/6/2021 17:09
48,Lavrentiya,65.5833,-171,-4.02,82,81,6.15,RU,2/6/2021 17:11
49,Albany,42.6001,-73.9662,35.01,59,75,12.66,US,2/6/2021 17:11
50,Saskylakh,71.9167,114.0833,-36.08,81,76,5.03,RU,2/6/2021 17:09
51,Castro,-24.7911,-50.0119,76.26,50,0,7.45,BR,2/6/2021 17:11
52,Mar Del Plata,-38.0023,-57.5575,73,64,75,16.11,AR,2/6/2021 17:09
53,Alofi,-19.0595,-169.9187,77,88,100,6.91,NU,2/6/2021 17:11
54,Westport,41.1415,-73.3579,42.8,52,1,16.11,US,2/6/2021 17:09
55,Los Llanos De Aridane,28.6585,-17.9182,66.2,59,20,21.85,ES,2/6/2021 17:11
56,Rocha,-34.4833,-54.3333,84.7,39,0,13.91,UY,2/6/2021 17:11
57,Ouango,4.3133,22.5552,83.08,20,51,1.92,CF,2/6/2021 17:11
58,Alice Springs,-23.7,133.8833,75,35,42,6.91,AU,2/6/2021 17:06
59,Rurrenabaque,-14.4413,-67.5278,91.4,62,75,5.57,BO,2/6/2021 17:11
60,Saint-Francois,46.4154,3.9054,48.99,93,0,4.61,FR,2/6/2021 17:11
61,Tura,25.5198,90.2201,57.72,70,35,3.69,IN,2/6/2021 17:10
62,Provost,52.3501,-110.2683,-18.4,76,100,2.3,CA,2/6/2021 17:11
63,North Bend,43.4065,-124.2243,44.6,93,90,3.44,US,2/6/2021 17:11
64,Atuona,-9.8,-139.0333,80.17,77,57,22.41,PF,2/6/2021 17:09
65,Saint-Philippe,-21.3585,55.7679,80.6,78,90,2.3,RE,2/6/2021 17:11
66,Port Alfred,-33.5906,26.891,75,90,18,4,ZA,2/6/2021 17:10
67,Talnakh,69.4865,88.3972,-29.07,76,0,3.47,RU,2/6/2021 17:11
68,Marsh Harbour,26.5412,-77.0636,76.59,77,0,18.34,BS,2/6/2021 17:11
69,Ribeira Grande,38.5167,-28.7,60.8,88,75,24.16,PT,2/6/2021 17:11
70,Lompoc,34.6391,-120.4579,55.4,76,1,5.75,US,2/6/2021 17:11
71,Hithadhoo,-0.6,73.0833,82.02,76,100,15.1,MV,2/6/2021 17:10
72,Maunabo,18.0072,-65.8993,82.99,74,20,7,PR,2/6/2021 17:11
73,Balkanabat,39.5108,54.3671,50.49,69,97,1.01,TM,2/6/2021 17:11
74,Rosarito,32.3333,-117.0333,63,54,1,2.57,MX,2/6/2021 17:11
75,Bluff,-46.6,168.3333,53.92,85,19,3.31,NZ,2/6/2021 17:09
76,Yellowknife,62.456,-114.3525,-44,65,1,4.34,CA,2/6/2021 17:09
77,Tatebayashi,36.25,139.5333,51.01,65,1,8.05,JP,2/6/2021 17:11
78,Bethel,41.3712,-73.414,39.99,38,40,18.41,US,2/6/2021 17:11
79,Severo-Kurilsk,50.6789,156.125,20.12,94,100,16.04,RU,2/6/2021 17:11
80,Comodoro Rivadavia,-45.8667,-67.5,60.8,67,75,20.71,AR,2/6/2021 17:08
81,Vaini,-21.2,-175.2,73.4,94,75,10.36,TO,2/6/2021 17:07
82,Golden,39.7555,-105.2211,39.99,38,75,4.61,US,2/6/2021 17:10
83,Mocuba,-16.8392,36.9856,79.18,84,77,5.57,MZ,2/6/2021 17:11
84,Vestmannaeyjar,63.4427,-20.2734,37.4,75,20,29.93,IS,2/6/2021 17:11
85,Chuy,-33.6971,-53.4616,81.66,48,0,10.11,UY,2/6/2021 17:11
86,Gamba,-2.65,10,81.23,85,86,8.14,GA,2/6/2021 17:11
87,Meulaboh,4.1363,96.1285,79.48,81,63,3.36,ID,2/6/2021 17:11
88,Champerico,14.3,-91.9167,87.8,51,20,4.61,GT,2/6/2021 17:11
89,Alta Floresta,-9.8756,-56.0861,76.06,88,100,6.44,BR,2/6/2021 17:11
